config,model,experiment_id,num_narrative_agents,num_subnarrative_agents,aggregation,validation,retrieval,total_api_calls,total_cost_usd,total_latency_sec,avg_latency_sec,avg_cost_usd,avg_api_calls,total_documents,f1_samples
run_5_config,deepseek-chat,actor_critic_deepseek_ru_t00,1,1,union,True,False,32,0.0672,324.141289900057,10.129415309376782,0.0021,1.0,32,
actor_critic_deepseek_ru_t07,deepseek-chat,actor_critic_deepseek_ru_t07,1,1,union,True,False,160,0.06720000000000001,281.214562,8.7879550625,0.0021000000000000003,5.0,32,0.3284
run_1_config,deepseek-chat,actor_critic_deepseek_ru_t07,1,1,union,True,False,32,0.0672,271.7626696000807,8.492583425002522,0.0021,1.0,32,
run_2_config,deepseek-chat,actor_critic_deepseek_ru_t07,1,1,union,True,False,32,0.0672,239.57295139995404,7.486654731248564,0.0021,1.0,32,
run_3_config,deepseek-chat,actor_critic_deepseek_ru_t07,1,1,union,True,False,32,0.0672,245.90481790015474,7.684525559379836,0.0021,1.0,32,
run_4_config,deepseek-chat,actor_critic_deepseek_ru_t07,1,1,union,True,False,32,0.0672,290.58468479989097,9.080771399996593,0.0021,1.0,32,
run_5_config,deepseek-chat,actor_critic_deepseek_ru_t07,1,1,union,True,False,32,0.0672,258.2271444001235,8.06959826250386,0.0021,1.0,32,
actor_critic_gemini_en_t00,gemini-2.5-flash,actor_critic_gemini_en_t00,1,1,union,True,False,205,0.06149999999999999,396.94976,9.681701463414635,0.0014999999999999998,5.0,41,0.2329
run_1_config,gemini-2.5-flash,actor_critic_gemini_en_t00,1,1,union,True,False,41,0.061500000000000034,396.31349099986267,9.666182707313723,0.001500000000000001,1.0,41,
run_2_config,gemini-2.5-flash,actor_critic_gemini_en_t00,1,1,union,True,False,41,0.061500000000000034,505.1717126998115,12.321261285361256,0.001500000000000001,1.0,41,
run_3_config,gemini-2.5-flash,actor_critic_gemini_en_t00,1,1,union,True,False,41,0.061500000000000034,388.7647493998517,9.482067058532968,0.001500000000000001,1.0,41,
run_4_config,gemini-2.5-flash,actor_critic_gemini_en_t00,1,1,union,True,False,41,0.061500000000000034,375.64258619979927,9.162014297556079,0.001500000000000001,1.0,41,
run_5_config,gemini-2.5-flash,actor_critic_gemini_en_t00,1,1,union,True,False,41,0.061500000000000034,421.3764664998747,10.277474792679872,0.001500000000000001,1.0,41,
actor_critic_gemini_en_t00_v2,gemini-2.5-flash,actor_critic_gemini_en_t00,1,1,union,True,False,205,0.06149999999999999,963.394912,23.49743687804878,0.0014999999999999998,5.0,41,0.2825
run_1_config,gemini-2.5-flash,actor_critic_gemini_en_t00,1,1,union,True,False,41,0.061500000000000034,958.0881493000784,23.368003641465325,0.001500000000000001,1.0,41,
run_2_config,gemini-2.5-flash,actor_critic_gemini_en_t00,1,1,union,True,False,41,0.061500000000000034,835.1268919999718,20.368948585365168,0.001500000000000001,1.0,41,
run_3_config,gemini-2.5-flash,actor_critic_gemini_en_t00,1,1,union,True,False,41,0.061500000000000034,848.4618379999888,20.694191170731436,0.001500000000000001,1.0,41,
run_4_config,gemini-2.5-flash,actor_critic_gemini_en_t00,1,1,union,True,False,41,0.061500000000000034,783.4545687001668,19.108648017077236,0.001500000000000001,1.0,41,
run_5_config,gemini-2.5-flash,actor_critic_gemini_en_t00,1,1,union,True,False,41,0.061500000000000034,693.7074450999498,16.919693782925606,0.001500000000000001,1.0,41,
actor_critic_gemini_en_t07,gemini-2.5-flash,actor_critic_gemini_en_t07,1,1,union,True,False,195,0.058499999999999996,423.552099,10.86031023076923,0.0014999999999999998,5.0,39,0.2059
run_1_config,gemini-2.5-flash,actor_critic_gemini_en_t07,1,1,union,True,False,41,0.061500000000000034,422.8146573000122,10.312552617073468,0.001500000000000001,1.0,41,
run_2_config,gemini-2.5-flash,actor_critic_gemini_en_t07,1,1,union,True,False,41,0.061500000000000034,541.3531450999437,13.203735246340091,0.001500000000000001,1.0,41,
run_3_config,gemini-2.5-flash,actor_critic_gemini_en_t07,1,1,union,True,False,41,0.061500000000000034,1125.35885379999,27.44777692195097,0.001500000000000001,1.0,41,
run_4_config,gemini-2.5-flash,actor_critic_gemini_en_t07,1,1,union,True,False,41,0.061500000000000034,1054.6087307999846,25.722164165853282,0.001500000000000001,1.0,41,
run_5_config,gemini-2.5-flash,actor_critic_gemini_en_t07,1,1,union,True,False,41,0.061500000000000034,187.4824567001778,4.5727428463458,0.001500000000000001,1.0,41,
actor_critic_gemini_en_t07_v2,gemini-2.5-flash,actor_critic_gemini_en_t07,1,1,union,True,False,205,0.06149999999999999,1329.287472,32.42164565853659,0.0014999999999999998,5.0,41,0.2658
run_1_config,gemini-2.5-flash,actor_critic_gemini_en_t07,1,1,union,True,False,41,0.061500000000000034,1324.5379166998912,32.305802846338814,0.001500000000000001,1.0,41,
run_2_config,gemini-2.5-flash,actor_critic_gemini_en_t07,1,1,union,True,False,41,0.061500000000000034,981.0587727001406,23.928262748783915,0.001500000000000001,1.0,41,
run_3_config,gemini-2.5-flash,actor_critic_gemini_en_t07,1,1,union,True,False,41,0.061500000000000034,1024.7826186001776,24.994698014638473,0.001500000000000001,1.0,41,
run_4_config,gemini-2.5-flash,actor_critic_gemini_en_t07,1,1,union,True,False,41,0.061500000000000034,895.6336207999857,21.84472245853624,0.001500000000000001,1.0,41,
